set_id,compound_id,compound_number,name,smiles,inchi,formula,charge,mode,carboxyl_count,hydroxyl_count,other_fg,nom_like_flag,source,pubchem_cid,comment,mass_val,H_C,O_C,nom_like_flag_vk,nom_like_flag_combined
set_01,PC00068,68,"(2S,3S)-2-amino-3-methylbutanedioic acid",CC(C(C(=O)O)N)C(=O)O,,C5H9NO4,0,neg,2,2,,True,PubChem,440064,NOM-like candidate (random CID),,1.8,0.8,False,False
set_01,PC00070,70,2-[4-(1-carboxybutylamino)butylamino]pentanoic acid,CCCC(C(=O)O)NCCCCNC(CCC)C(=O)O,,C14H28N2O4,0,neg,2,2,,True,PubChem,415250,NOM-like candidate (random CID),,2.0,0.2857142857142857,False,False
set_01,PC00072,72,6-hydroxy-4-oxo-1H-pyridine-3-carboxylic acid,C1=C(NC=C(C1=O)C(=O)O)O,,C6H5NO4,0,neg,1,2,,True,PubChem,21629,NOM-like candidate (random CID),,0.8333333333333334,0.6666666666666666,True,True
set_01,PC00076,76,3-(2-oxo-1-pyridinyl)propanoic acid,C1=CC(=O)N(C=C1)CCC(=O)O,,C8H9NO3,0,neg,1,1,,True,PubChem,288086,NOM-like candidate (random CID),,1.125,0.375,True,True
set_01,PC00078,78,5-(4-phenylphenyl)pyrrolidine-2-carboxylic acid,C1CC(NC1C2=CC=C(C=C2)C3=CC=CC=C3)C(=O)O,,C17H17NO2,0,neg,1,1,,True,PubChem,411061,NOM-like candidate (random CID),,1.0,0.11764705882352941,False,False
set_01,PC00079,79,2-[(1-benzylcyclohexyl)azaniumyl]ethyl-diethylazanium;bis(4-hydroxy-4-oxobut-2-enoate),CC[NH+](CC)CC[NH2+]C1(CCCCC1)CC2=CC=CC=C2.C(=CC(=O)[O-])C(=O)O.C(=CC(=O)[O-])C(=O)O,,C27H40N2O8,0,neg,2,2,,True,PubChem,30444,NOM-like candidate (random CID),,1.4814814814814814,0.2962962962962963,True,True
set_01,PC00084,84,"[(5S)-3-[4-(1-methoxycarbonyl-3,6-dihydro-2H-pyridin-4-yl)phenyl]-4,5-dihydro-1,2-oxazol-5-yl]methylcarbamic acid",COC(=O)N1CCC(=CC1)C2=CC=C(C=C2)C3=NOC(C3)CNC(=O)O,,C18H21N3O5,0,neg,1,1,,True,PubChem,476889,NOM-like candidate (random CID),,1.1666666666666667,0.2777777777777778,True,True
set_01,PC00087,87,"5,9-dimethyl-13-propan-2-yltetracyclo[8.4.0.01,12.04,9]tetradec-13-ene-5-carboxylic acid",CC(C)C1=CC23C1CC2C4(CCCC(C4CC3)(C)C(=O)O)C,,C20H30O2,0,neg,1,1,,True,PubChem,288347,NOM-like candidate (random CID),,1.5,0.1,False,False
set_01,PC00088,88,"3,4-diamino-4-oxobutanoic acid",C(C(C(=O)N)N)C(=O)O,,C4H8N2O3,0,neg,1,1,,True,PubChem,352913,NOM-like candidate (random CID),,2.0,0.75,False,False
set_01,PC00089,89,"(1S,4aS)-1,4a-dimethyl-7-propan-2-yl-2,3,4,9,10,10a-hexahydrophenanthrene-1-carboxylic acid",CC(C)C1=CC2=C(C=C1)C3(CCCC(C3CC2)(C)C(=O)O)C,,C20H28O2,0,neg,1,1,,True,PubChem,21235,NOM-like candidate (random CID),,1.4,0.1,False,False
set_01,PC00090,90,10-oxo-10-phenyldecanoic acid,C1=CC=C(C=C1)C(=O)CCCCCCCCC(=O)O,,C16H22O3,0,neg,1,1,,True,PubChem,298877,NOM-like candidate (random CID),,1.375,0.1875,False,False
set_01,PC00091,91,2-ethoxy-2-oxoacetic acid,CCOC(=O)C(=O)O,,C4H6O4,0,neg,1,1,,True,PubChem,74701,NOM-like candidate (random CID),,1.5,1.0,False,False
set_01,PC00092,92,3-[4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl]propanoic acid,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)O)O,,C15H23NO4,0,neg,1,2,,True,PubChem,133620,NOM-like candidate (random CID),,1.5333333333333334,0.26666666666666666,False,False
set_01,PC00094,94,2-(3-pentadecylphenoxy)butanoic acid,CCCCCCCCCCCCCCCC1=CC(=CC=C1)OC(CC)C(=O)O,,C25H42O3,0,neg,1,1,,True,PubChem,85701,NOM-like candidate (random CID),,1.68,0.12,False,False
set_01,PC00096,96,but-3-enoic acid;oxiran-2-ylmethyl 2-methylprop-2-enoate,CC(=C)C(=O)OCC1CO1.C=CCC(=O)O,,C11H16O5,0,neg,1,1,,True,PubChem,168583,NOM-like candidate (random CID),,1.4545454545454546,0.45454545454545453,True,True
set_01,PC00098,98,2-cyclopropyl-3-[4-[2-(2H-tetrazol-5-yl)phenyl]phenoxy]quinoline-4-carboxylic acid,C1CC1C2=NC3=CC=CC=C3C(=C2OC4=CC=C(C=C4)C5=CC=CC=C5C6=NNN=N6)C(=O)O,,C26H19N5O3,0,neg,1,1,,True,PubChem,127866,NOM-like candidate (random CID),,0.7307692307692307,0.11538461538461539,False,False
set_01,PC00100,100,"azane;(2R,3R)-2,3-dihydroxybutanedioic acid",C(C(C(=O)O)O)(C(=O)O)O.N,,C4H9NO6,0,neg,2,4,,True,PubChem,18352,NOM-like candidate (random CID),,2.25,1.5,False,False
set_01,PC00101,101,"[4-(4-amino-6,7-dimethoxyquinazolin-2-yl)piperazin-1-yl]-(furan-2-yl)methanone;(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoic acid",COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC.C(C(C(C(C(C(=O)O)O)O)O)O)O,,C25H33N5O11,0,neg,1,6,,True,PubChem,158073,NOM-like candidate (random CID),,1.32,0.44,True,True
